,precision,recall,f1-score,support
insufficient_weight,0.9506172839506173,0.9625,0.9565217391304348,80.0
normal_weight,0.8863636363636364,0.9176470588235294,0.9017341040462428,85.0
obesity_type_i,0.9537037037037037,0.9809523809523809,0.9671361502347418,105.0
obesity_type_ii,0.9883720930232558,0.9550561797752809,0.9714285714285714,89.0
obesity_type_iii,0.9896907216494846,0.9896907216494846,0.9896907216494846,97.0
overweight_level_i,0.9736842105263158,0.8809523809523809,0.925,84.0
overweight_level_ii,0.9333333333333333,0.9767441860465116,0.9545454545454546,86.0
accuracy,0.9536741214057508,0.9536741214057508,0.9536741214057508,0.9536741214057508
macro avg,0.9536807117929067,0.9519347011713669,0.9522938201478472,626.0
weighted avg,0.9545534142584573,0.9536741214057508,0.9536205841806155,626.0
